22:46:00.761 -> ID  DLC   DATA    
22:46:00.761 -> 450 8 0 0 0 0 0 0 B 0
22:46:00.796 -> 550 8 10 0 0 0 0 0 0 50
22:46:00.828 -> 540 8 6 0 0 0 0 0 0 0
22:46:00.861 -> 450 8 0 0 0 0 0 0 B 0
22:46:00.861 -> 550 8 10 0 0 0 0 0 0 70
22:46:00.894 -> 540 8 2 0 0 2 11 0 2 20
22:46:00.927 -> 550 8 10 0 0 0 0 0 0 90
22:46:00.961 -> 540 8 6 0 0 0 0 0 0 0
22:46:00.995 -> 550 8 10 0 0 0 0 0 0 B0
22:46:01.027 -> 540 8 2 0 0 2 11 0 2 20
22:46:01.027 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.060 -> 450 8 0 0 0 0 0 0 B 0
22:46:01.094 -> 550 8 10 0 0 0 0 0 0 30
22:46:01.129 -> 541 8 2 0 0 0 0 0 0 13
22:46:01.129 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.162 -> 450 8 0 0 0 0 0 0 B 0
22:46:01.202 -> 550 8 10 0 0 0 0 0 0 70
22:46:01.232 -> 541 8 2 0 0 0 0 0 0 13
22:46:01.232 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.266 -> 450 8 0 0 0 0 0 0 B 0
22:46:01.301 -> 550 8 10 0 0 0 0 0 0 B0
22:46:01.334 -> 541 8 2 0 0 0 0 0 0 13
22:46:01.334 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.367 -> 450 8 0 0 0 0 0 0 B 0
22:46:01.398 -> 550 8 10 0 0 0 0 0 0 30
22:46:01.434 -> 540 8 4 0 0 0 0 0 0 0
22:46:01.468 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.468 -> 550 8 10 0 0 0 0 0 0 70
22:46:01.500 -> 540 8 2 0 0 2 11 0 2 20
22:46:01.537 -> 550 8 10 0 0 0 0 0 0 90
22:46:01.566 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.566 -> 550 8 10 0 0 0 0 0 0 B0
22:46:01.599 -> 540 8 2 0 0 2 11 0 2 21
22:46:01.633 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.673 -> 450 8 0 0 0 0 0 0 B 0
22:46:01.673 -> 550 8 10 0 0 0 0 0 0 30
22:46:01.706 -> 540 8 2 0 0 2 11 0 2 21
22:46:01.741 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.772 -> 450 8 0 0 0 0 0 0 B 0
22:46:01.803 -> 550 8 10 0 0 0 0 0 0 70
22:46:01.803 -> 541 8 2 0 0 0 0 0 0 13
22:46:01.832 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.867 -> 450 8 0 0 0 0 0 0 B 0
22:46:01.898 -> 550 8 10 0 0 0 0 0 0 B0
22:46:01.931 -> 541 8 2 0 0 0 0 0 0 14
22:46:01.931 -> 540 8 6 0 0 0 0 0 0 0
22:46:01.965 -> 450 8 0 0 0 0 0 0 B 0
22:46:01.998 -> 550 8 10 0 0 0 0 0 0 30
22:46:02.031 -> 541 8 2 0 0 0 0 0 0 14
22:46:02.064 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.064 -> 450 8 0 0 0 0 0 0 B 0
22:46:02.097 -> 550 8 10 0 0 0 0 0 0 70
22:46:02.132 -> 540 8 4 0 0 0 0 0 0 0
22:46:02.191 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.191 -> 550 8 10 0 0 0 0 0 0 B0
22:46:02.191 -> 540 8 2 0 0 2 11 0 2 21
22:46:02.239 -> 550 8 10 0 0 0 0 0 0 D0
22:46:02.265 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.296 -> 550 8 10 0 0 0 0 0 0 30
22:46:02.296 -> 540 8 2 0 0 2 11 0 2 21
22:46:02.329 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.362 -> 450 8 0 0 0 0 0 0 B 0
22:46:02.395 -> 550 8 10 0 0 0 0 0 0 70
22:46:02.428 -> 540 8 2 0 0 2 11 0 2 21
22:46:02.428 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.461 -> 450 8 0 0 0 0 0 0 B 0
22:46:02.494 -> 550 8 10 0 0 0 0 0 0 B0
22:46:02.529 -> 541 8 2 0 0 0 0 0 0 14
22:46:02.529 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.580 -> 450 8 0 0 0 0 0 0 B 0
22:46:02.580 -> 550 8 10 0 0 0 0 0 0 30
22:46:02.628 -> 541 8 2 0 0 0 0 0 0 14
22:46:02.674 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.674 -> 450 8 0 0 0 0 0 0 B 0
22:46:02.700 -> 550 8 10 0 0 0 0 0 0 70
22:46:02.729 -> 541 8 2 0 0 0 0 0 0 14
22:46:02.772 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.772 -> 450 8 0 0 0 0 0 0 B 0
22:46:02.806 -> 550 8 10 0 0 0 0 0 0 B0
22:46:02.840 -> 540 8 4 0 0 0 0 0 0 0
22:46:02.840 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.865 -> 550 8 10 0 0 0 0 0 0 30
22:46:02.894 -> 540 8 2 0 0 2 11 0 2 22
22:46:02.928 -> 550 8 10 0 0 0 0 0 0 50
22:46:02.965 -> 540 8 6 0 0 0 0 0 0 0
22:46:02.992 -> 550 8 10 0 0 0 0 0 0 70
22:46:02.992 -> 540 8 2 0 0 2 11 0 2 22
22:46:03.025 -> 540 8 6 0 0 0 0 0 0 0
22:46:03.058 -> 450 8 0 0 0 0 0 0 B 0
