22:38:18.07,->,ID,,DLC,,,DATA,,,,
22:38:20.79,->,540,8,2,0,0,1,11,0,1,D7
22:38:20.79,->,540,8,6,0,0,0,0,0,0,0
22:38:20.83,->,550,8,10,0,0,0,0,0,0,90
22:38:20.86,->,450,8,0,0,0,0,0,0,B,0
22:38:20.89,->,540,8,2,0,0,1,11,0,1,D7
22:38:20.89,->,540,8,6,0,0,0,0,0,0,0
22:38:20.92,->,550,8,10,0,0,0,0,0,0,D0
22:38:20.96,->,450,8,0,0,0,0,0,0,B,0
22:38:20.99,->,541,8,2,0,0,0,0,0,FF,FF
22:38:21.02,->,540,8,6,0,0,0,0,0,0,0
22:38:21.02,->,550,8,10,0,0,0,0,0,0,50
22:38:21.06,->,450,8,0,0,0,0,0,0,B,0
22:38:21.09,->,540,8,4,0,0,0,0,0,0,0
22:38:21.12,->,540,8,6,0,0,0,0,0,0,0
22:38:21.12,->,550,8,10,0,0,0,0,0,0,90
22:38:21.16,->,450,8,0,0,0,0,0,0,B,0
22:38:21.19,->,540,8,4,0,0,0,0,0,0,0
22:38:21.22,->,540,8,6,0,0,0,0,0,0,0
22:38:21.26,->,550,8,10,0,0,0,0,0,0,D0
22:38:21.26,->,450,8,0,0,0,0,0,0,B,0
22:38:21.29,->,540,8,4,0,0,0,0,0,0,0
22:38:21.32,->,540,8,6,0,0,0,0,0,0,0
22:38:21.36,->,550,8,10,0,0,0,0,0,0,50
22:38:21.36,->,450,8,0,0,0,0,0,0,B,0
22:38:21.39,->,540,8,4,0,0,0,0,0,0,0
22:38:21.42,->,540,8,6,0,0,0,0,0,0,0
22:38:21.45,->,550,8,10,0,0,0,0,0,0,90
22:38:21.45,->,450,8,0,0,0,0,0,0,B,0
22:38:21.49,->,540,8,6,0,0,0,0,0,0,0
22:38:21.52,->,450,8,0,0,0,0,0,0,B,0
22:38:21.56,->,550,8,10,0,0,0,0,0,0,D0
22:38:21.56,->,450,8,0,0,0,0,0,0,B,0
22:38:21.59,->,540,8,6,0,0,0,0,0,0,0
22:38:21.62,->,450,8,0,0,0,0,0,0,B,0
22:38:21.65,->,550,8,10,0,0,0,0,0,0,50
22:38:21.69,->,450,8,0,0,0,0,0,0,B,0
22:38:21.69,->,540,8,6,0,0,0,0,0,0,0
22:38:21.72,->,550,8,10,0,0,0,0,0,0,90
22:38:21.75,->,450,8,0,0,0,0,0,0,B,0
22:38:21.79,->,540,8,2,0,0,1,11,0,1,D7
22:38:21.79,->,540,8,6,0,0,0,0,0,0,0
22:38:21.82,->,550,8,10,0,0,0,0,0,0,D0
22:38:21.86,->,450,8,0,0,0,0,0,0,B,0
22:38:21.89,->,540,8,2,0,0,1,11,0,1,D7
22:38:21.92,->,540,8,6,0,0,0,0,0,0,0
22:38:21.92,->,550,8,10,0,0,0,0,0,0,50
22:38:21.97,->,450,8,0,0,0,0,0,0,B,0
22:38:21.97,->,540,8,4,0,0,0,0,0,0,0
22:38:22.01,->,540,8,6,0,0,0,0,0,0,0
22:38:22.03,->,550,8,10,0,0,0,0,0,0,90
22:38:22.06,->,450,8,0,0,0,0,0,0,B,0
22:38:22.09,->,540,8,4,0,0,0,0,0,0,0
22:38:22.12,->,540,8,6,0,0,0,0,0,0,0
22:38:22.12,->,550,8,10,0,0,0,0,0,0,D0
22:38:22.16,->,450,8,0,0,0,0,0,0,B,0
22:38:22.19,->,540,8,4,0,0,0,0,0,0,0
22:38:22.22,->,540,8,6,0,0,0,0,0,0,0
22:38:22.25,->,550,8,10,0,0,0,0,0,0,50
22:38:22.25,->,450,8,0,0,0,0,0,0,B,0
22:38:22.29,->,540,8,4,0,0,0,0,0,0,0
22:38:22.32,->,540,8,6,0,0,0,0,0,0,0
22:38:22.35,->,550,8,10,0,0,0,0,0,0,90
22:38:22.35,->,450,8,0,0,0,0,0,0,B,0
22:38:22.39,->,540,8,4,0,0,0,0,0,0,0
22:38:22.42,->,540,8,6,0,0,0,0,0,0,0
22:38:22.45,->,550,8,10,0,0,0,0,0,0,D0
22:38:22.45,->,450,8,0,0,0,0,0,0,B,0
22:38:22.49,->,540,8,4,0,0,0,0,0,0,0
22:38:22.52,->,540,8,6,0,0,0,0,0,0,0
22:38:22.55,->,550,8,10,0,0,0,0,0,0,50
22:38:22.59,->,450,8,0,0,0,0,0,0,B,0
22:38:22.59,->,540,8,6,0,0,0,0,0,0,0
22:38:22.62,->,450,8,0,0,0,0,0,0,B,0
22:38:22.65,->,550,8,10,0,0,0,0,0,0,90
22:38:22.69,->,450,8,0,0,0,0,0,0,B,0
22:38:22.69,->,540,8,6,0,0,0,0,0,0,0
22:38:22.72,->,550,8,10,0,0,0,0,0,0,D0
22:38:22.75,->,450,8,0,0,0,0,0,0,B,0
22:38:22.79,->,540,8,2,0,0,1,11,0,1,D7
22:38:22.79,->,540,8,6,0,0,0,0,0,0,0
22:38:22.82,->,550,8,10,0,0,0,0,0,0,50
22:38:22.85,->,450,8,0,0,0,0,0,0,B,0
22:38:22.89,->,540,8,2,0,0,1,11,0,1,D7
22:38:22.92,->,540,8,6,0,0,0,0,0,0,0
22:38:22.92,->,550,8,10,0,0,0,0,0,0,90
22:38:22.95,->,450,8,0,0,0,0,0,0,B,0
22:38:22.99,->,541,8,2,0,0,0,0,0,FF,FF
22:38:23.02,->,540,8,6,0,0,0,0,0,0,0
22:38:23.02,->,550,8,10,0,0,0,0,0,0,D0
22:38:23.05,->,450,8,0,0,0,0,0,0,B,0
22:38:23.09,->,540,8,4,0,0,0,0,0,0,0
22:38:23.12,->,540,8,6,0,0,0,0,0,0,0
22:38:23.12,->,550,8,10,0,0,0,0,0,0,50
22:38:23.15,->,450,8,0,0,0,0,0,0,B,0
22:38:23.19,->,540,8,4,0,0,0,0,0,0,0
22:38:23.22,->,540,8,6,0,0,0,0,0,0,0
22:38:23.26,->,550,8,10,0,0,0,0,0,0,90
22:38:23.26,->,450,8,0,0,0,0,0,0,B,0
22:38:23.30,->,540,8,4,0,0,0,0,0,0,0
22:38:23.30,->,540,8,6,0,0,0,0,0,0,0
22:38:23.33,->,550,8,10,0,0,0,0,0,0,D0
22:38:23.35,->,450,8,0,0,0,0,0,0,B,0
22:38:23.39,->,540,8,4,0,0,0,0,0,0,0
22:38:23.42,->,540,8,6,0,0,0,0,0,0,0
22:38:23.45,->,550,8,10,0,0,0,0,0,0,50
22:38:23.45,->,450,8,0,0,0,0,0,0,B,0
22:38:23.49,->,540,8,6,0,0,0,0,0,0,0
22:38:23.52,->,450,8,0,0,0,0,0,0,B,0
22:38:23.55,->,550,8,10,0,0,0,0,0,0,90
22:38:23.59,->,450,8,0,0,0,0,0,0,B,0
22:38:23.59,->,540,8,6,0,0,0,0,0,0,0
22:38:23.62,->,450,8,0,0,0,0,0,0,B,0
22:38:23.65,->,550,8,10,0,0,0,0,0,0,D0
22:38:23.69,->,450,8,0,0,0,0,0,0,B,0
22:38:23.69,->,540,8,6,0,0,0,0,0,0,0
22:38:23.72,->,550,8,10,0,0,0,0,0,0,50
22:38:23.75,->,450,8,0,0,0,0,0,0,B,0
22:38:23.79,->,540,8,2,0,0,1,11,0,1,D7
22:38:23.82,->,540,8,6,0,0,0,0,0,0,0
22:38:23.82,->,550,8,10,0,0,0,0,0,0,90
22:38:23.85,->,450,8,0,0,0,0,0,0,B,0
22:38:23.89,->,540,8,2,0,0,1,11,0,1,D7
22:38:23.92,->,540,8,6,0,0,0,0,0,0,0
22:38:23.92,->,550,8,10,0,0,0,0,0,0,D0
22:38:23.95,->,450,8,0,0,0,0,0,0,B,0
22:38:23.99,->,541,8,2,0,0,0,0,0,FF,FF
22:38:24.02,->,540,8,6,0,0,0,0,0,0,0
22:38:24.06,->,550,8,10,0,0,0,0,0,0,50
22:38:24.06,->,450,8,0,0,0,0,0,0,B,0
22:38:24.09,->,540,8,4,0,0,0,0,0,0,0
22:38:24.12,->,540,8,6,0,0,0,0,0,0,0
22:38:24.12,->,550,8,10,0,0,0,0,0,0,90
22:38:24.15,->,450,8,0,0,0,0,0,0,B,0
22:38:24.19,->,540,8,4,0,0,0,0,0,0,0
22:38:24.22,->,540,8,6,0,0,0,0,0,0,0
