22:24:21.95,->,ID,,DLC,,,DATA,,,,,
22:24:24.60,->,550,8,10,0,0,0,0,0,0,90,
22:24:24.64,->,540,8,2,0,0,1,11,0,1,5E,
22:24:24.64,->,540,8,4,0,0,0,0,0,0,0,
22:24:24.67,->,540,8,6,0,0,0,0,0,0,0,
22:24:24.70,->,550,8,10,0,0,0,0,0,0,D0,
22:24:24.74,->,540,8,2,0,0,1,11,0,1,5E,
22:24:24.74,->,540,8,4,0,0,0,0,0,0,0,
22:24:24.77,->,540,8,6,0,0,0,0,0,0,0,
22:24:24.80,->,550,8,10,0,0,0,0,0,0,50,
22:24:24.84,->,540,8,2,0,0,1,11,0,1,5E,
22:24:24.87,->,540,8,6,0,0,0,0,0,0,0,
22:24:24.87,->,450,8,0,0,0,0,0,0,B,0,
22:24:24.90,->,550,8,10,0,0,0,0,0,0,90,
22:24:24.93,->,540,8,2,0,0,1,11,0,1,5E,
22:24:24.97,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.00,->,450,8,0,0,0,0,0,0,B,0,
22:24:25.00,->,550,8,10,0,0,0,0,0,0,D0,
22:24:25.03,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.07,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.10,->,550,8,10,0,0,0,0,0,0,50,
22:24:25.10,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.13,->,540,8,4,0,0,0,0,0,0,0,
22:24:25.17,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.20,->,550,8,10,0,0,0,0,0,0,90,
22:24:25.23,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.23,->,540,8,4,0,0,0,0,0,0,0,
22:24:25.27,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.30,->,550,8,10,0,0,0,0,0,0,D0,
22:24:25.33,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.37,->,540,8,4,0,0,0,0,0,0,0,
22:24:25.37,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.40,->,550,8,10,0,0,0,0,0,0,50,
22:24:25.43,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.47,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.47,->,450,8,0,0,0,0,0,0,B,0,
22:24:25.50,->,550,8,10,0,0,0,0,0,0,90,
22:24:25.53,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.57,->,540,8,6,0,0,0,0,0,0,0,
